ov_suc,int,Th,pl4
10,0.46,0.05962206,0.000220401
10,1,0.06238956,0.000173847
20,0.26,0.1044249,0.001143945
20,0.46,0.1078558,0.000689593
20,0.7,0.1091076,0.000598141
20,1,0.1096021,0.000558565
30,0.16,0.13844,0.00498392
30,0.26,0.134054,0.002604486
30,0.46,0.1283525,0.00174617
30,0.7,0.1258395,0.001597202
30,1,0.1249315,0.001568894
40,0.12,0.178617,0.007849958
40,0.16,0.1790373,0.006964177
40,0.26,0.1811598,0.005027127
40,0.46,0.1847044,0.003716769
40,0.7,0.1868847,0.003455893
40,1,0.1880541,0.003285839
50,0.1,0.2143678,0.008300995
50,0.16,0.214796,0.008029585
50,0.26,0.2161322,0.007072352
50,0.46,0.2177788,0.006415965
50,0.7,0.218431,0.006138817
50,1,0.2186953,0.005995896
60,0.1,0.2478817,0.008667246
60,0.16,0.2468471,0.008370502
60,0.46,0.237739,0.007806934
60,0.7,0.234436,0.007708382
60,1,0.2324988,0.007644239
70,0.13,0.2808667,0.008918233
70,0.26,0.2846814,0.008417514
70,0.46,0.2886312,0.00833455
70,0.7,0.2905173,0.008307326
70,1,0.2913645,0.008283185
80,0.2,0.3108695,0.009346027
80,0.46,0.3110817,0.008743426
80,0.7,0.3112621,0.00869439
80,1,0.3113522,0.008686999
90,0.4,0.3338931,0.01117146
90,1,0.3289421,0.0108676
100,1,0.3762928,0.01994675
