ov_suc,int,Th,pl4
10,0.46,0.03949687,0.000232364
10,1,0.04007027,0.000177306
20,0.26,0.07597975,0.001485999
20,0.46,0.07159029,0.000819584
20,0.7,0.068465276,0.000726429
20,1,0.06621836,0.000686094
30,0.16,0.1191022,0.01085452
30,0.26,0.1215492,0.004021003
30,0.46,0.1256913,0.00245192
30,0.7,0.127509379,0.002128997
30,1,0.1282574,0.002060161
40,0.12,0.155618,0.03574487
40,0.16,0.1546629,0.02264447
40,0.26,0.1517463,0.01027087
40,0.46,0.1470724,0.006426903
40,0.7,0.1998176,0.01517699
40,1,0.1439286,0.005257016
50,0.1,0.1913647,0.05767242
50,0.16,0.1916318,0.04025073
50,0.26,0.1936536,0.02420715
50,0.46,0.1974725,0.01680269
50,0.7,0.144786203,0.005653516
50,1,0.2010475,0.01489762
60,0.1,0.2247228,0.06299663
60,0.16,0.2246721,0.05634895
60,0.46,0.222991,0.0366698
60,0.7,0.22281381,0.03396423
60,1,0.2228089,0.03230834
70,0.13,0.2568205,0.06383237
70,0.26,0.2564669,0.0598209
70,0.46,0.2556945,0.05646767
70,0.7,0.25550658,0.05484108
70,1,0.255712,0.05419796
80,0.2,0.2886205,0.06427356
80,0.46,0.291919,0.06328932
80,0.7,0.29281885,0.06295273
80,1,0.2931707,0.06274565
90,0.4,0.3110028,0.06599992
90,1,0.3057127,0.06572258
100,1,0.352657,0.07417176
