[1] 0.0021975861 0.0002204007
[1] 0.0017439791 0.0001738474
[1] 0.010415640 0.001143945
[1] 0.0068277488 0.0006895931
[1] 0.0056478597 0.0005585651
[1] 0.04823063 0.00498392
[1] 0.024907097 0.002604486
[1] 0.01749255 0.00174617
[1] 0.016118535 0.001568894
[1] 0.125017037 0.007849958
[1] 0.090223142 0.006964177
[1] 0.054369506 0.005027127
[1] 0.039553153 0.003716769
[1] 0.033878014 0.003285839
[1] 0.205539538 0.008300995
[1] 0.150350420 0.008029585
[1] 0.107165608 0.007072352
[1] 0.084078344 0.006415965
[1] 0.074221225 0.005995896
[1] 0.249079468 0.008667246
[1] 0.214555886 0.008370502
[1] 0.155352917 0.007806934
[1] 0.148116523 0.007644239
