ov_suc,int,Th,pl3
10,0.46,0.02094949,0.001380868
10,1,0.01689873,0.001366377
20,0.26,0.08209285,0.003174172
20,0.46,0.08623663,0.002791072
20,0.7,0.08876616,0.001238871
20,1,0.09012275,0.002633971
30,0.16,0.1165771,0.005195164
30,0.26,0.1212588,0.004729909
30,0.46,0.124498,0.004354435
30,0.7,0.1253562,0.001519516
30,1,0.1256675,0.004085165
40,0.12,0.1442125,0.005781579
40,0.16,0.1428326,0.005765697
40,0.26,0.1406111,0.005599432
40,0.46,0.139608,0.005429268
40,0.7,0.1395272,0.001654602
40,1,0.1395239,0.00528226
50,0.1,0.1760085,0.006247815
50,0.16,0.1728258,0.005980011
50,0.26,0.1673869,0.00590014
50,0.46,0.1608049,0.005849985
50,0.7,0.1570322,0.00171582
50,1,0.1548291,0.005802866
60,0.1,0.2074967,0.006991943
60,0.16,0.2100195,0.006368702
60,0.46,0.2186417,0.006094935
60,0.7,0.2207881,0.001927407
60,1,0.2217513,0.006078334
70,0.13,0.2375335,0.007742251
70,0.26,0.2420719,0.006807419
70,0.46,0.2439453,0.006603383
70,0.7,0.2443558,0.002424142
70,1,0.2444738,0.006573356
80,0.2,0.2590488,0.009287493
80,0.46,0.2560152,0.008448688
80,0.7,0.2558192,0.003668018
80,1,0.2558045,0.008217258
90,0.4,0.280869,0.013216193
90,1,0.2753384,0.013118848
100,1,0.3280773,0.022180956
