ov_suc,int,Th,pl3
10,0.46,0.02797461,0.001707116
10,1,0.02830204,0.001558913
20,0.26,0.05478834,0.005941358
20,0.46,0.04776384,0.004546989
20,0.7,0.04490313,0.002730732
20,1,0.04388261,0.00380972
30,0.16,0.1044323,0.01937647
30,0.26,0.1068224,0.01264522
30,0.46,0.1108311,0.01049324
30,0.7,0.1132737,0.004339173
30,1,0.1145835,0.009519594
40,0.12,0.140439,0.037352315
40,0.16,0.1415548,0.03082891
40,0.26,0.1449491,0.02304945
40,0.46,0.1477837,0.02041357
40,0.7,0.148603,0.005730035
40,1,0.1489035,0.02006868
50,0.1,0.1736081,0.044584668
50,0.16,0.1711035,0.040313758
50,0.26,0.1668476,0.03475134
50,0.46,0.163249,0.03177146
50,0.7,0.1624311,0.006576214
50,1,0.1622978,0.03074132
60,0.1,0.2065473,0.045924082
60,0.16,0.2063805,0.044885085
60,0.46,0.2053347,0.04086818
60,0.7,0.2057519,0.006987522
60,1,0.2063947,0.03979261
70,0.13,0.2394059,0.046559289
70,0.26,0.245206,0.045710626
70,0.46,0.248987,0.045137825
70,0.7,0.2502263,0.007261507
70,1,0.2507056,0.044677972
80,0.2,0.2658522,0.047352226
80,0.46,0.2639118,0.046542268
80,0.7,0.2637695,0.007851932
80,1,0.2637601,0.046321753
90,0.4,0.2884566,0.050069646
90,1,0.2830088,0.04993315
100,1,0.3349767,0.05857107
