[1] 0.0024054175 0.0002437409
[1] 0.001797513 0.000179933
[1] 0.01489674 0.00175753
[1] 0.0091285416 0.0009442017
[1] 0.007814925 0.000788171
[1] 0.09029677 0.01532867
[1] 0.043143884 0.005288883
[1] 0.027565656 0.003021569
[1] 0.02304713 0.00240473
[1] 0.27683214 0.06525023
[1] 0.19746897 0.03638595
[1] 0.1158091 0.0151382
[1] 0.080811808 0.008967093
[1] 0.068861203 0.007643958
[1] 0.4991151 0.1527497
[1] 0.37553931 0.08129401
[1] 0.27316727 0.04173983
[1] 0.21050288 0.02631588
[1] 0.18680959 0.02196928
[1] 0.6432591 0.2291228
[1] 0.5810138 0.1597291
[1] 0.45395901 0.07205345
[1] 0.40450518 0.06031598
