[1] 0.0023048983 0.0002323639
[1] 0.0017716549 0.0001773059
[1] 0.012782337 0.001485999
[1] 0.0080509950 0.0008195843
[1] 0.0067354290 0.0006860942
[1] 0.07068965 0.01085452
[1] 0.034287270 0.004021003
[1] 0.02276914 0.00245192
[1] 0.019985438 0.002060161
[1] 0.21322207 0.03574487
[1] 0.14889798 0.02264447
[1] 0.08536911 0.01027087
[1] 0.059414158 0.006426903
[1] 0.049516121 0.005257016
[1] 0.39513106 0.05767242
[1] 0.28059395 0.04025073
[1] 0.19464172 0.02420715
[1] 0.14988616 0.01680269
[1] 0.13871318 0.01489762
[1] 0.52933469 0.06299663
[1] 0.45390631 0.05634895
[1] 0.3176711 0.0366698
[1] 0.28007552 0.03230834
